"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_12876","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_12879","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Steccherinaceae",NA,NA
"ASV_12880","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Biappendiculispora",NA
"ASV_12885","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12886","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Hyponectriaceae","g__Monographella",NA
"ASV_12887","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Fomitiporia","s__ignea"
"ASV_12889","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales",NA,NA,NA
"ASV_12895","k__Rhizaria","p__Haplosporidia","c__Haplosporidia_cls_Incertae_sedis","o__Haplosporidia_ord_Incertae_sedis","f__Haplosporidia_fam_Incertae_sedis","g__Haplosporidia_gen_Incertae_sedis",NA
"ASV_12896","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__melezitolytica"
"ASV_12897","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12898","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_12900","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12903","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12905","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_12906","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_12907","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora","s__clematidis"
"ASV_12908","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Oliveonia",NA
"ASV_12909","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_12910","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_12914","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizales_fam_Incertae_sedis","g__Pezizales_gen_Incertae_sedis",NA
"ASV_12917","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12919","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces",NA
"ASV_12921","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Calyptella","s__gibbosa"
"ASV_12923","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_12924","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Terriera","s__karsti"
"ASV_12925","k__Stramenopila","p__Oomycota","c__Oomycetes","o__Pythiales","f__Pythiales_fam_Incertae_sedis","g__Pythiales_gen_Incertae_sedis",NA
"ASV_12926","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__kurtzmanii"
"ASV_12928","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_12929","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Arrhenia",NA
"ASV_12930","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Bacillariales","f__Bacillariaceae","g__Tryblionella",NA
"ASV_12933","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Lyomyces",NA
"ASV_12937","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Mycocentrospora",NA
"ASV_12938","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"ASV_12939","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","s__isabellina"
"ASV_12940","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12942","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__grammata"
"ASV_12943","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Hemimycena","s__cucullata"
"ASV_12952","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12953","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12955","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Hypomyces","s__aurantius"
"ASV_12956","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","s__tremellosa"
"ASV_12959","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12960","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__brevisetulosus"
"ASV_12964","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus","s__hobsonii"
"ASV_12965","k__Fungi","p__Mortierellomycota","c__Mortierellomycota_cls_Incertae_sedis","o__Mortierellomycota_ord_Incertae_sedis","f__Mortierellomycota_fam_Incertae_sedis","g__Mortierellomycota_gen_Incertae_sedis",NA
"ASV_12967","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Kostermansinda","s__minima"
"ASV_12970","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_12971","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma",NA
"ASV_12972","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema",NA
"ASV_12973","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12974","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Acrospermales","f__Acrospermales_fam_Incertae_sedis","g__Leptodiscella",NA
"ASV_12975","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12976","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12977","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Leohumicola",NA
"ASV_12980","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Pestalotiopsidaceae","g__Neopestalotiopsis",NA
"ASV_12982","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12986","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus",NA
"ASV_12991","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_12994","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_12995","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus",NA
"ASV_12996","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"ASV_12997","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Teichosporaceae","g__Floricola","s__festucae"
"ASV_12998","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_12999","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Xenoteratosphaeria","s__jonkershoekensis"
"ASV_13001","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__graminis"
"ASV_13006","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis",NA
"ASV_13008","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Fragilariales","f__Fragilariaceae","g__Tabularia",NA
"ASV_13009","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Rhodocybe",NA
"ASV_13011","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13012","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Phallaceae","g__Lysurus","s__cruciatus"
"ASV_13016","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cuniculitremaceae","g__Fellomyces",NA
"ASV_13019","k__Viridiplantae","p__Chlorophyta","c__Chlorophyceae","o__Volvocales","f__Chlamydomonadaceae","g__Chlamydomonas","s__ulvaensis"
"ASV_13020","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Cytosporella",NA
"ASV_13022","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Marasmiellus","s__istanbulensis"
"ASV_13025","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"ASV_13026","k__Stramenopila","p__Oomycota","c__Oomycetes","o__Peronosporales","f__Peronosporales_fam_Incertae_sedis","g__Phytophthora","s__citricola"
"ASV_13027","k__Fungi","p__Basidiomycota","c__Microbotryomycetes",NA,NA,NA,NA
"ASV_13028","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeriaceae_gen_Incertae_sedis",NA
"ASV_13029","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13031","k__Stramenopila","p__Oomycota","c__Oomycetes","o__Oomycetes_ord_Incertae_sedis","f__Oomycetes_fam_Incertae_sedis","g__Oomycetes_gen_Incertae_sedis",NA
"ASV_13032","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia","s__chimonanthi"
"ASV_13033","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","s__irregularis"
"ASV_13034","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Oliveonia",NA
"ASV_13035","k__Cryptista","p__Katablepharidophyta","c__Katablepharidophyta_cls_Incertae_sedis","o__Katablepharidophyta_ord_Incertae_sedis","f__Katablepharidophyta_fam_Incertae_sedis","g__Katablepharidophyta_gen_Incertae_sedis",NA
"ASV_13036","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Tetragoniomycetaceae","g__Tetragoniomyces",NA
"ASV_13038","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Cucurbitariaceae_gen_Incertae_sedis",NA
"ASV_13039","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13040","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Phellinus","s__gilvus"
"ASV_13043","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Schizophyllaceae","g__Schizophyllum","s__commune"
"ASV_13046","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13047","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Podosporaceae","g__Podospora","s__immersa"
"ASV_13049","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthales_fam_Incertae_sedis","g__Magnaporthales_gen_Incertae_sedis",NA
"ASV_13051","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Spermospora","s__loliiphila"
"ASV_13053","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13054","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Cucurbitariaceae_gen_Incertae_sedis",NA
"ASV_13055","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13056","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_13057","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"ASV_13059","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_13060","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Kondoa",NA
"ASV_13061","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Zasmidium","s__angulare"
"ASV_13062","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_13063","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma","s__rusticoides"
"ASV_13066","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon",NA
"ASV_13069","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Ohleria","s__modesta"
"ASV_13071","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Phellinus","s__mori"
"ASV_13079","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","s__californica"
"ASV_13085","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"ASV_13086","k__Stramenopila","p__Oomycota","c__Oomycetes","o__Pythiales","f__Pythiaceae","g__Pythium",NA
"ASV_13087","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Rhizopogonaceae","g__Rhizopogon",NA
"ASV_13088","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13091","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Perenniporia","s__narymica"
"ASV_13093","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Pseudoclathrosphaerina",NA
"ASV_13094","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13095","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__capensis"
"ASV_13096","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Sporormiella","s__intermedia"
"ASV_13098","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Toxicocladosporium","s__losalamitosense"
"ASV_13102","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Hypholoma",NA
"ASV_13104","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"ASV_13105","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales",NA,NA,NA
"ASV_13109","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Physalacriaceae","g__Cylindrobasidium","s__torrendii"
"ASV_13111","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae",NA,NA
"ASV_13112","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetales_fam_Incertae_sedis","g__Archaeorhizomycetales_gen_Incertae_sedis",NA
"ASV_13113","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__chrysanthemicola"
"ASV_13115","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_13117","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Boletaceae","g__Hortiboletus",NA
"ASV_13118","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_13119","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_13120","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Tulostoma","s__simulans"
"ASV_13122","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meripilaceae","g__Physisporinus",NA
"ASV_13127","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13129","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pterulaceae","g__Pterulicium",NA
"ASV_13131","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena","s__tenebrio"
"ASV_13133","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13134","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__daucicaulis"
"ASV_13135","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricomycetes_ord_Incertae_sedis","f__Agaricomycetes_fam_Incertae_sedis","g__Dendrothele","s__nivosa"
"ASV_13136","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"ASV_13139","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__fragilis"
"ASV_13140","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_13145","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Hyphodermataceae","g__Hyphoderma","s__setigerum"
"ASV_13146","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_13147","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Kalmusia",NA
"ASV_13148","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_13150","k__Stramenopila","p__Oomycota","c__Oomycetes","o__Pythiales","f__Pythiaceae","g__Pythium",NA
"ASV_13151","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Constantinomyces",NA
"ASV_13153","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella",NA
"ASV_13154","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_13156","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13159","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremellaceae_gen_Incertae_sedis",NA
"ASV_13160","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactifluus","s__armeniacus"
"ASV_13162","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_13166","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"ASV_13168","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Hanseniaspora","s__nectarophila"
"ASV_13169","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_13173","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Dacryobolaceae","g__Dacryobolus","s__sudans"
"ASV_13176","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus",NA
"ASV_13178","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_13180","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Stachybotrys",NA
"ASV_13181","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae",NA,NA
"ASV_13184","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13186","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_13189","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia",NA
"ASV_13190","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Phanerochaete","s__livescens"
"ASV_13191","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_13192","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Oliveonia",NA
"ASV_13194","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Ciliosporella","s__italica"
"ASV_13195","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Sigarispora","s__rosicola"
"ASV_13197","k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Wallemiales","f__Wallemiaceae","g__Wallemia","s__sebi"
"ASV_13198","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella","s__spadiceogrisea"
"ASV_13199","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Panaeolus",NA
"ASV_13200","k__Stramenopila","p__Stramenopila_phy_Incertae_sedis","c__Stramenopila_cls_Incertae_sedis","o__Stramenopila_ord_Incertae_sedis","f__Stramenopila_fam_Incertae_sedis","g__Stramenopila_gen_Incertae_sedis",NA
"ASV_13201","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV_13203","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Lipomycetaceae","g__Lipomyces",NA
"ASV_13204","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcus","s__watticus"
"ASV_13205","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__nivea"
"ASV_13206","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pleurotaceae","g__Hohenbuehelia","s__josserandii"
"ASV_13207","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"ASV_13208","k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales","f__Phleogenaceae","g__Helicogloea",NA
"ASV_13209","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Laburnicola",NA
"ASV_13211","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Septoriella","s__hirta"
"ASV_13214","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Fragilariales","f__Fragilariaceae","g__Tabularia",NA
"ASV_13215","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__quietiodor"
"ASV_13219","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","s__subscotoides"
"ASV_13222","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13223","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","s__granulosum"
"ASV_13225","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_13226","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13229","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina","s__epigaea"
"ASV_13230","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizales_fam_Incertae_sedis","g__Pezizales_gen_Incertae_sedis",NA
"ASV_13233","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremella","s__phaeophysciae"
"ASV_13234","k__Fungi","p__Mortierellomycota","c__Mortierellomycota_cls_Incertae_sedis","o__Mortierellomycota_ord_Incertae_sedis","f__Mortierellomycota_fam_Incertae_sedis","g__Mortierellomycota_gen_Incertae_sedis",NA
"ASV_13239","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae","g__Neoconiothyrium",NA
"ASV_13242","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_13245","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__goniomatis"
"ASV_13247","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__atramentaria"
"ASV_13249","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Phlebiopsis","s__flavidoalba"
"ASV_13250","k__Heterolobosa","p__Heterolobosa_phy_Incertae_sedis","c__Heterolobosa_cls_Incertae_sedis","o__Heterolobosa_ord_Incertae_sedis","f__Heterolobosa_fam_Incertae_sedis","g__Heterolobosa_gen_Incertae_sedis",NA
"ASV_13252","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__melezitolytica"
"ASV_13253","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__pseudofriesii"
"ASV_13254","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_13256","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"ASV_13258","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Cystoagaricus",NA
"ASV_13259","k__Fungi","p__Basidiobolomycota","c__Basidiobolomycota_cls_Incertae_sedis","o__Basidiobolomycota_ord_Incertae_sedis","f__Basidiobolomycota_fam_Incertae_sedis","g__Basidiobolomycota_gen_Incertae_sedis",NA
"ASV_13264","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Ophioceraceae",NA,NA
"ASV_13265","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_13266","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Pseudocoleophoma","s__calamagrostidis"
"ASV_13267","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_13268","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_13273","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Podonectriaceae","g__Podonectria",NA
"ASV_13274","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
